"film_id","year","length","budget","votes","genre","rating","high_rating","years_since"
16553,1996,110,11.3,60,"Drama",3.5,"0",29
28121,1936,80,12.1,56,"Comedy",8.9,"1",89
26689,1966,83,13,25,"Action",4.1,"0",59
53578,1938,77,11,13,"Comedy",7.9,"1",87
33611,1971,89,9.8,238,"Comedy",7.9,"1",54
33413,1935,7,18.5,41,"Animation",7.9,"1",90
20186,1953,90,8.8,85,"Drama",4,"0",72
44013,1954,9,14.4,6,"Short",8,"1",71
32311,2000,102,10.2,44,"Drama",4.2,"0",25
54471,1966,6,11.1,5,"Animation",5.1,"0",59
27626,2004,86,13.6,5,"Drama",5.7,"0",21
957,1970,100,12.9,61,"Drama",2.9,"0",55
22500,1994,108,8.8,11453,"Drama",3.3,"0",31
24408,2003,90,8.2,462,"Drama",2.8,"0",22
24513,1933,90,13.7,24,"Drama",4.4,"0",92
54356,1977,50,13.5,22,"Action",4.1,"0",48
13084,1996,100,9,5,"Comedy",4.3,"0",29
31537,1976,135,12.7,76,"Drama",4.8,"0",49
53181,1989,89,4.3,24,"Action",3.8,"0",36
19316,1967,102,12,6,"Comedy",3.5,"0",58
52589,1993,85,11.8,59,"Action",3.9,"0",32
26029,1994,112,11.5,181,"Drama",4.5,"0",31
25642,1964,92,9.7,7,"Action",3.6,"0",61
44827,1977,102,14.9,88,"Action",3.7,"0",48
6390,1992,86,7.6,59,"Action",3.5,"0",33
36193,1941,43,8.3,5,"Comedy",7.9,"1",84
39923,1962,85,7.2,5,"Action",4.5,"0",63
53179,1952,7,5.7,25,"Animation",5.1,"0",73
9296,2003,111,15.4,691,"Action",5.6,"0",22
32523,2002,113,14.6,504,"Comedy",8.2,"1",23
5240,1990,90,10.7,109,"Action",7.7,"1",35
34312,2001,11,12.3,7,"Animation",8.3,"1",24
47800,1964,100,16.1,21,"Comedy",8.3,"1",61
48220,2001,84,13,2305,"Action",5.3,"0",24
54125,2002,95,6.8,8,"Drama",3.9,"0",23
52376,1942,99,14.8,3579,"Comedy",8.5,"1",83
15038,1971,90,13.5,88,"Comedy",3.7,"0",54
586,1996,17,14.9,26,"Drama",7.6,"1",29
8246,1948,18,6.9,13,"Short",8.4,"1",77
32469,1989,110,14.1,283,"Comedy",7.9,"1",36
32095,1942,65,10.8,9,"Drama",5.1,"0",83
10453,2005,104,10.2,65,"Action",5.6,"0",20
25062,1937,96,9.6,157,"Action",5.3,"0",88
26338,1999,22,13.5,10,"Comedy",7.7,"1",26
15590,1950,7,11.8,19,"Animation",7.8,"1",75
55605,1962,18,14,6,"Documentary",8.4,"1",63
33702,1990,91,13.2,173,"Action",4.1,"0",35
17552,2003,96,9.1,14,"Action",4.9,"0",22
31862,2001,119,13.5,44,"Drama",4.5,"0",24
25185,1998,92,5.8,66,"Drama",4.8,"0",27
31554,2004,29,17.5,9,"Comedy",7.6,"1",21
32542,1996,98,7,4005,"Comedy",3.9,"0",29
51462,1933,20,11,6,"Short",8.3,"1",92
47574,1939,10,12.6,8,"Drama",8.2,"1",86
10634,1999,90,15.9,125,"Action",8,"1",26
56355,1941,81,8.6,73,"Comedy",4.1,"0",84
57240,1968,8,15.1,9,"Animation",7.9,"1",57
49952,1942,91,10.4,12,"Action",3.2,"0",83
39568,1971,91,13.2,51,"Action",3.6,"0",54
18664,1989,100,12.9,26,"Action",4.4,"0",36
7309,1938,10,9.5,15,"Comedy",8,"1",87
16023,2000,90,15.1,472,"Documentary",7.4,"1",25
52491,1944,93,14.1,17,"Comedy",7.8,"1",81
40360,1986,120,10.7,35210,"Action",4.6,"0",39
41309,1938,64,11.5,16,"Drama",5,"0",87
649,1999,178,15.1,73,"Drama",2.8,"0",26
27165,2002,112,11.7,5,"Drama",4.7,"0",23
1693,1993,127,14.5,5786,"Action",2.4,"0",32
35704,1976,90,12.2,14,"Action",4.4,"0",49
31684,1959,101,17,69,"Action",7.8,"1",66
38735,1929,74,7.7,5,"Action",4.1,"0",96
15488,1982,78,12.2,35,"Documentary",7.3,"1",43
6548,1938,80,10.7,242,"Comedy",4.8,"0",87
48700,1939,80,13.7,110,"Action",1.6,"0",86
20194,1988,96,7.7,6,"Drama",3.2,"0",37
42238,1953,88,14.9,23,"Action",4.3,"0",72
36004,1941,56,12.2,13,"Action",2.5,"0",84
58059,1984,90,14.1,6,"Action",4.1,"0",41
12322,1990,95,18.1,7,"Comedy",8,"1",35
13549,1965,78,10,7,"Comedy",8.2,"1",60
10792,1984,77,8,8,"Action",4,"0",41
24954,1934,111,10.3,346,"Drama",4.4,"0",91
24559,2002,20,19.6,6,"Short",7.6,"1",23
48250,1976,98,12.9,5,"Drama",2.7,"0",49
20487,1935,89,13.5,54,"Drama",3.5,"0",90
41428,1919,7,10.2,13,"Comedy",8.1,"1",106
20295,1997,98,13,29,"Comedy",4.3,"0",28
28255,2001,113,10.7,131,"Action",4.1,"0",24
25208,2004,112,12.7,39,"Drama",5.4,"0",21
33578,2004,90,8.8,114,"Comedy",2.8,"0",21
12415,2003,90,8.3,6,"Action",4.9,"0",22
10943,1917,24,12.4,67,"Comedy",7.9,"1",108
8587,1927,87,14.4,18,"Action",4.2,"0",98
7344,2000,2,16.3,20,"Action",8.3,"1",25
42598,1975,92,11.4,5,"Drama",4.7,"0",50
25500,2004,94,12.8,7,"Drama",3.9,"0",21
46727,1972,94,15.9,159,"Drama",3.9,"0",53
41604,1980,90,12.8,34,"Action",3.3,"0",45
45649,2002,90,10.9,57,"Comedy",8.8,"1",23
16813,1959,149,17.6,469,"Drama",3.5,"0",66
9548,1943,77,11.7,6,"Comedy",7.9,"1",82
30246,2001,87,12.1,24,"Action",5.3,"0",24
23051,2000,89,21.2,14,"Action",8,"1",25
12567,1969,96,14.6,17,"Drama",2.2,"0",56
58006,1967,84,13.5,6,"Drama",3.5,"0",58
12839,1945,102,10.5,959,"Action",2.3,"0",80
46943,1982,120,14.4,17,"Drama",3.1,"0",43
39383,2000,75,11,18,"Documentary",7.9,"1",25
20794,1979,95,12.6,253,"Action",3.7,"0",46
39641,1962,112,14.5,133,"Comedy",8.5,"1",63
20237,1963,98,13.4,78,"Action",4.1,"0",62
53556,1972,87,18.7,29,"Drama",5,"0",53
5176,1996,87,13.7,429,"Comedy",7.6,"1",29
30777,1930,80,11.1,17,"Romance",3.1,"0",95
42262,1944,98,15.6,12,"Action",2.5,"0",81
35534,2003,86,8.4,30,"Drama",4.9,"0",22
28341,1937,83,12.2,9,"Drama",3.7,"0",88
10381,1994,90,11.1,1230,"Comedy",8.3,"1",31
43897,1999,90,10.9,357,"Comedy",3.6,"0",26
55411,1984,111,18.8,27,"Drama",5.1,"0",41
23426,1984,103,16.6,91,"Comedy",7.7,"1",41
5983,1957,82,16.4,21,"Action",8.6,"1",68
50412,1992,65,13.6,7,"Action",4.1,"0",33
27306,1985,132,7.2,89,"Action",3.9,"0",40
10031,2000,96,16.1,1919,"Comedy",8.4,"1",25
56692,1972,107,13.7,63,"Drama",4.3,"0",53
1966,1985,105,14.8,130,"Drama",4.6,"0",40
22220,2002,80,15.2,14,"Documentary",8.1,"1",23
9560,1969,96,11.4,100,"Drama",4.7,"0",56
37794,1954,108,11.7,12803,"Drama",3.5,"0",71
19818,2004,1,12.3,17,"Comedy",7.7,"1",21
38018,1968,104,12.5,32,"Comedy",8.5,"1",57
22854,1942,95,10,7,"Action",4.1,"0",83
22058,2005,103,10.4,42,"Drama",3.8,"0",20
4396,2002,102,14.8,4943,"Comedy",8.1,"1",23
44151,1998,58,14.2,5,"Documentary",8,"1",27
26078,1952,78,12.6,268,"Comedy",7.5,"1",73
12098,1999,75,10.2,18,"Comedy",8.7,"1",26
15291,1996,95,14.8,80,"Action",4.7,"0",29
16090,1958,99,12.9,65,"Drama",3.7,"0",67
56702,1937,77,12.7,6,"Comedy",7.8,"1",88
49186,1934,73,5.7,10,"Comedy",3.7,"0",91
8683,1963,97,9.7,66,"Drama",4.2,"0",62
37496,1936,59,13.1,12,"Action",1.8,"0",89
10905,1955,183,7.7,74,"Action",3.3,"0",70
54468,1942,92,10.5,14,"Drama",3.4,"0",83
22951,2005,101,14.6,3784,"Drama",2.4,"0",20
58626,1988,96,10.4,12,"Action",2.8,"0",37
30212,2000,90,15.3,9485,"Comedy",3.5,"0",25
23290,1995,106,9.6,7,"Drama",4.6,"0",30
35643,1934,90,14.3,27,"Drama",2.4,"0",91
35162,1972,89,12.4,85,"Comedy",7.5,"1",53
33471,1995,91,11,69,"Drama",4.5,"0",30
31779,1955,94,17.6,14,"Comedy",7.9,"1",70
11392,1956,101,8.2,2419,"Comedy",3.2,"0",69
27829,1933,61,9.4,5,"Action",4,"0",92
52533,2002,127,10.3,21,"Drama",4.8,"0",23
46688,1967,99,8.1,124,"Action",4.3,"0",58
1301,2002,115,10.8,7,"Action",3.6,"0",23
3382,1987,104,11,76,"Comedy",8.9,"1",38
17947,1944,7,12.5,14,"Animation",6.9,"0",81
21289,1997,87,12.7,132,"Drama",3.7,"0",28
37261,1996,10,8.8,12,"Short",8,"1",29
19309,1975,136,6,541,"Comedy",3.3,"0",50
45268,1985,89,15.2,60,"Action",3,"0",40
55226,1977,75,9,9,"Action",4.2,"0",48
44099,1993,114,15.6,827,"Drama",4.1,"0",32
27139,1966,90,9.6,5,"Drama",4,"0",59
54113,1983,90,14.5,17,"Drama",2.9,"0",42
1348,1978,104,9.7,230,"Drama",3.9,"0",47
21310,1999,116,10.8,128,"Comedy",7.5,"1",26
50757,1992,91,7.9,35,"Drama",4.2,"0",33
18374,1942,102,11.2,449,"Action",4.8,"0",83
41687,1973,95,13.3,11,"Drama",4,"0",52
27964,1995,15,16,31,"Short",8.2,"1",30
51252,1983,132,12.1,6050,"Comedy",3.2,"0",42
7838,1942,8,16.4,53,"Animation",7.3,"1",83
44950,1998,8,9.4,74,"Comedy",8.1,"1",27
16631,1970,53,12,20,"Action",4.8,"0",55
36003,1997,108,13.5,131,"Drama",4.2,"0",28
46545,1957,87,9.8,27,"Action",5.2,"0",68
40529,1987,97,9.3,15,"Comedy",4.1,"0",38
26055,1977,105,12.4,2109,"Comedy",8.6,"1",48
4651,1936,7,10.6,29,"Animation",8.1,"1",89
25246,1976,106,7.9,25,"Drama",4.6,"0",49
13558,1939,7,13.2,22,"Animation",7.9,"1",86
1632,1998,124,9.6,604,"Drama",3.1,"0",27
44870,2000,88,10.6,12,"Action",4.1,"0",25
39786,2002,17,18.8,7,"Short",7.2,"1",23
41296,2003,108,6.6,106,"Drama",5.4,"0",22
29318,1996,95,9.8,420,"Drama",3.7,"0",29
4054,1990,99,13.1,1322,"Drama",4.5,"0",35
34747,1946,63,11,27,"Comedy",8.1,"1",79
18386,1934,68,13.1,147,"Action",3.5,"0",91
7203,1940,68,15.1,72,"Comedy",7.8,"1",85
11983,1940,63,7.1,22,"Comedy",3.7,"0",85
47416,1995,105,15,196,"Action",3.4,"0",30
35383,1901,2,9.7,13,"Short",8,"1",124
15997,1990,110,13.5,5,"Action",3.1,"0",35
35472,2004,150,12.4,23,"Drama",4.5,"0",21
46620,1951,107,7.5,665,"Drama",3.9,"0",74
11700,1971,82,13.7,5,"Drama",3.9,"0",54
18597,2003,96,8.4,904,"Action",3,"0",22
34817,1942,67,12.1,20,"Comedy",8.1,"1",83
29347,1945,72,13,26,"Comedy",8.1,"1",80
21125,1976,8,12.6,19,"Comedy",8.6,"1",49
57076,1931,77,12.6,10,"Action",4.1,"0",94
23823,1972,85,17.4,34,"Action",4.2,"0",53
49587,1995,74,13.8,69,"Action",3.7,"0",30
40553,2002,185,9,25,"Action",5.5,"0",23
32472,1944,116,13,33,"Comedy",7.8,"1",81
13125,1999,105,14.6,17666,"Action",7.4,"1",26
41548,1953,92,13.1,14,"Drama",4.8,"0",72
57165,1910,17,12.4,16,"Comedy",7.4,"1",115
34403,1965,90,8.8,5,"Action",3.4,"0",60
57597,1950,101,14.3,139,"Drama",3,"0",75
43287,2002,83,12.3,922,"Action",4.4,"0",23
14956,1996,90,16.4,865,"Comedy",4.8,"0",29
55121,1994,10,8.9,5,"Documentary",8.4,"1",31
16675,1974,100,8.1,17,"Action",3.3,"0",51
27845,2003,80,14.6,18,"Documentary",7.8,"1",22
8716,1984,152,14.4,252,"Drama",3.3,"0",41
24411,2003,15,11.6,5,"Short",8.5,"1",22
47127,2004,39,9.2,20,"Documentary",7.3,"1",21
36102,2001,15,12.2,5,"Short",8.1,"1",24
3575,1983,102,21.8,30,"Drama",8.6,"1",42
25014,1974,82,14.7,47,"Action",2.6,"0",51
4894,1937,72,17.2,15,"Comedy",5.1,"0",88
48224,2003,103,6.8,153,"Documentary",4.6,"0",22
834,1967,105,10.5,340,"Drama",4.5,"0",58
47512,1992,86,15.6,10,"Action",6.6,"0",33
51003,1965,6,7.5,23,"Animation",7.6,"1",60
46653,1997,84,10.1,150,"Action",5.1,"0",28
29505,1937,103,11.9,11,"Action",5.1,"0",88
5548,2001,12,13.4,8,"Short",8.3,"1",24
43768,1984,110,6.9,109,"Romance",5.5,"0",41
23334,1977,98,10.9,6,"Action",4.1,"0",48
52157,1988,93,13.9,122,"Drama",3.4,"0",37
49246,1956,94,12.2,12,"Comedy",8.1,"1",69
36752,1974,105,10.8,6,"Drama",4.3,"0",51
25897,1952,88,11.1,8,"Drama",4.5,"0",73
29287,1962,227,14,31230,"Drama",4.3,"0",63
27433,2004,11,14,10,"Short",8.5,"1",21
36113,1964,34,10.1,6,"Short",7.6,"1",61
32234,1896,2,4.8,12,"Short",7.8,"1",129
577,1998,13,9.8,7,"Drama",7.7,"1",27
48664,1999,110,4,307,"Drama",4.7,"0",26
52114,1999,10,9.1,8,"Short",8.2,"1",26
23648,1996,91,11.3,4644,"Action",8,"1",29
52772,1983,96,12.1,20,"Action",4.4,"0",42
46831,1989,90,15.5,37,"Action",3.2,"0",36
28044,1964,113,13.3,45,"Comedy",8.1,"1",61
40210,2003,143,11.3,60812,"Action",7.4,"1",22
49600,1975,92,12.8,302,"Comedy",8.5,"1",50
53845,1973,100,13.6,30,"Drama",2.4,"0",52
11390,1907,6,5.8,8,"Comedy",8.7,"1",118
13257,1963,75,11.8,641,"Action",4.2,"0",62
2224,1990,120,10.5,42,"Comedy",7.4,"1",35
43556,1944,10,8.2,10,"Documentary",8.1,"1",81
15043,2001,57,14.7,6,"Documentary",8,"1",24
17322,1951,7,12.5,35,"Animation",8.1,"1",74
40364,2000,16,4.3,91,"Drama",5.9,"0",25
43088,2003,65,13.8,35,"Action",5.3,"0",22
20234,1995,93,13.8,48,"Action",4,"0",30
15522,1996,88,5.9,210,"Comedy",2.9,"0",29
35766,2003,40,11.9,22,"Documentary",7.5,"1",22
37028,1972,91,9.5,30,"Action",3.8,"0",53
55150,1977,98,14.9,10,"Comedy",4.8,"0",48
29570,1985,69,12.8,9,"Action",3.9,"0",40
21459,1997,170,12.8,126,"Drama",3.9,"0",28
31806,1992,202,13.9,6873,"Drama",4.6,"0",33
31642,1967,100,17,36,"Comedy",7.4,"1",58
28069,1945,103,2.8,68,"Drama",2.4,"0",80
50301,1980,92,12.2,21,"Drama",4.9,"0",45
19467,1986,90,12.6,12,"Comedy",8.4,"1",39
23754,1971,45,13.1,10,"Comedy",8.4,"1",54
30642,1980,84,4.7,85,"Comedy",3.7,"0",45
54064,2002,119,13.3,254,"Drama",4.6,"0",23
38732,1938,58,6.7,10,"Action",4.6,"0",87
54088,1937,144,13,45,"Drama",3.7,"0",88
38146,1924,3,10,20,"Animation",4.4,"0",101
14874,2003,85,14.3,537,"Action",3.4,"0",22
57694,1969,105,8.8,299,"Action",4.8,"0",56
6543,1995,83,12.8,2306,"Comedy",8.6,"1",30
53636,1968,92,11.7,26,"Comedy",7.4,"1",57
21361,1968,120,13.7,11,"Documentary",8.3,"1",57
45291,1985,84,7.6,38,"Comedy",4.1,"0",40
57695,1999,80,12.7,185,"Action",7,"0",26
14590,1975,107,8.2,22,"Drama",2.7,"0",50
20318,1997,60,11.7,20,"Documentary",7.9,"1",28
41810,1938,89,11.6,887,"Comedy",5,"0",87
57192,1986,86,14.8,64,"Comedy",8.5,"1",39
32619,1913,20,14,16,"Action",4.4,"0",112
40921,1997,177,7.8,8773,"Action",5.1,"0",28
37071,2001,95,9.6,2829,"Comedy",4.1,"0",24
42275,1956,121,14.6,515,"Comedy",3.7,"0",69
7346,1960,97,5.3,47,"Comedy",4.6,"0",65
56790,1996,88,14.4,32,"Action",4,"0",29
21413,1983,90,10.6,6,"Action",4.3,"0",42
17420,2002,88,12.5,87,"Action",4,"0",23
17352,1983,100,10.7,5,"Action",4.4,"0",42
10870,1991,99,15.8,349,"Action",7.9,"1",34
50367,1960,126,14.8,1416,"Action",4.1,"0",65
7422,1977,176,15.5,5527,"Action",5.1,"0",48
13857,2004,11,10.2,13,"Comedy",8.2,"1",21
4552,2002,300,10.6,13,"Drama",3.1,"0",23
45859,1986,100,13.2,21,"Comedy",7.8,"1",39
4810,1948,72,9.2,9,"Drama",5.6,"0",77
7356,1983,97,6.8,1424,"Action",5.2,"0",42
8662,1949,96,14,12,"Comedy",8.2,"1",76
46397,1954,70,15.9,26,"Drama",5.2,"0",71
28149,1981,90,9.3,11,"Drama",6.2,"0",44
52063,1998,87,8.9,1572,"Action",3.4,"0",27
46287,1967,83,13.9,74,"Action",6,"0",58
56456,1990,92,15.1,6,"Comedy",7.7,"1",35
29567,1978,79,11.7,41,"Documentary",8.5,"1",47
52451,1986,96,13,18,"Action",6.3,"0",39
58708,2001,87,9.5,18,"Action",2.5,"0",24
58045,1947,190,14.4,31,"Action",4.4,"0",78
46246,1953,80,13.1,6,"Action",2.6,"0",72
27727,1993,81,6.9,28,"Action",4.5,"0",32
18569,1951,99,8.2,54,"Drama",2.9,"0",74
31213,1977,80,16.3,26,"Drama",3.9,"0",48
6082,1939,71,16.1,58,"Drama",1.5,"0",86
56795,1946,85,11,48,"Drama",2.9,"0",79
51813,1974,95,13.1,30,"Action",3.6,"0",51
22300,1947,10,10.2,10,"Comedy",8.2,"1",78
58605,1994,87,13.5,9,"Drama",5.2,"0",31
38025,1993,99,13.7,492,"Action",4.9,"0",32
14810,1988,90,13.7,132,"Comedy",7.9,"1",37
8770,1994,100,11.1,1151,"Comedy",4,"0",31
47949,1982,97,3.6,189,"Comedy",3.2,"0",43
36231,1997,95,15,175,"Comedy",5,"0",28
39395,1971,88,9.5,13,"Action",2.7,"0",54
45870,1967,90,12.4,7,"Comedy",8,"1",58
54386,1992,131,14.1,30868,"Drama",3.7,"0",33
9044,1901,1,14.9,9,"Comedy",7.8,"1",124
1427,1999,87,15.1,27,"Comedy",1.9,"0",26
6009,1935,76,13.3,28,"Drama",4.6,"0",90
51969,1974,89,9.2,93,"Action",3.8,"0",51
45603,1975,97,8.7,28,"Action",3.2,"0",50
21539,1994,115,14.9,23,"Romance",4.3,"0",31
38824,1973,38,10.8,46,"Animation",4.7,"0",52
56260,1985,80,14.6,11,"Action",4.3,"0",40
38103,1959,100,16.6,1682,"Comedy",7.6,"1",66
22492,1997,100,9.7,507,"Action",3.2,"0",28
31388,1970,99,10.7,47,"Action",3.5,"0",55
50404,1968,70,16.2,8,"Documentary",7.8,"1",57
42577,1932,65,16.1,10,"Action",8.3,"1",93
17862,1951,57,8.6,9,"Drama",4,"0",74
49138,1987,88,11.4,37,"Action",4.4,"0",38
18831,1969,95,10.9,5,"Comedy",8.3,"1",56
38695,1994,95,15,10,"Drama",4.7,"0",31
13361,2004,105,2.6,10,"Action",3.9,"0",21
49642,1946,9,9.9,9,"Comedy",8.1,"1",79
3068,1932,73,13.4,7,"Drama",4.9,"0",93
24430,1985,96,12.4,6,"Action",3.4,"0",40
45094,1996,25,13.1,14,"Documentary",8,"1",29
49492,1953,7,16.2,26,"Animation",8.4,"1",72
42008,1985,91,9.8,1353,"Drama",5.4,"0",40
12593,1946,167,11.7,12,"Action",2.4,"0",79
23592,1991,102,11.4,17,"Drama",3.9,"0",34
46179,1996,118,14.7,3368,"Comedy",7.9,"1",29
36437,1988,7,14.3,22,"Animation",8,"1",37
34332,1983,122,9.8,19,"Documentary",7.8,"1",42
28903,2001,121,17.2,5421,"Drama",2.5,"0",24
51031,1968,61,12.1,76,"Drama",3.7,"0",57
55216,1958,80,12.1,5,"Comedy",8,"1",67
38231,1992,95,5,1942,"Drama",2.2,"0",33
16021,2000,7,8.7,7,"Animation",4.5,"0",25
57690,1986,93,15.2,1291,"Action",4,"0",39
29135,1960,91,9.5,237,"Drama",4.4,"0",65
17259,2001,60,8.5,5,"Drama",4.8,"0",24
44524,2000,79,10.3,62,"Drama",2.8,"0",25
50489,1959,99,8.2,6,"Action",3.8,"0",66
36439,1962,60,13.8,6,"Action",3.7,"0",63
6745,2001,71,12.9,12,"Documentary",7.9,"1",24
46778,1958,80,7,13,"Action",4.6,"0",67
1081,1960,107,11,216,"Drama",4.6,"0",65
13350,1979,89,12.6,73,"Comedy",8.7,"1",46
41753,2002,96,4.8,513,"Drama",3.6,"0",23
39129,1982,93,17.5,224,"Comedy",8.6,"1",43
21880,1983,52,6.1,5,"Documentary",4.1,"0",42
29584,1938,7,11.4,10,"Animation",7.6,"1",87
40565,2003,7,7.5,5,"Animation",4.4,"0",22
30521,1980,95,12.5,26,"Action",4.6,"0",45
48510,1968,81,10.8,385,"Comedy",7.8,"1",57
11646,1996,118,11.3,359,"Action",2.6,"0",29
8416,1978,107,12.4,128,"Action",3.5,"0",47
33172,1971,164,12.4,31,"Drama",2,"0",54
21640,2004,96,13.7,71,"Action",4.2,"0",21
27404,1929,8,10.3,40,"Animation",8.1,"1",96
16603,2001,101,12.5,14232,"Comedy",8.7,"1",24
48881,1937,111,6.7,687,"Drama",5.7,"0",88
22152,1985,89,5.7,51,"Comedy",4.2,"0",40
30668,1922,70,7.7,39,"Drama",5.1,"0",103
16643,1996,134,7.9,7653,"Action",2.6,"0",29
24832,1997,14,5.1,10,"Comedy",7.7,"1",28
15550,2004,110,14.2,17,"Documentary",8.7,"1",21
55733,1928,6,14.1,35,"Animation",7.4,"1",97
3327,2001,91,16.5,16,"Drama",3.1,"0",24
32575,1985,127,13,3859,"Drama",3.3,"0",40
19378,1983,109,10.4,147,"Action",4.9,"0",42
49698,1938,95,10.6,26,"Action",3.6,"0",87
51149,1985,88,16.2,16,"Action",7.8,"1",40
19480,1946,85,13.1,23,"Drama",3.9,"0",79
15172,1999,77,11.8,1790,"Comedy",7.8,"1",26
51264,2003,81,9.4,7,"Action",4,"0",22
34856,1937,90,14.5,5,"Comedy",8.1,"1",88
35136,2004,119,9.7,215,"Drama",3.9,"0",21
5854,1963,91,11.7,17,"Drama",3.3,"0",62
42641,1934,7,10.7,12,"Animation",4.8,"0",91
58575,2001,100,15.8,14,"Comedy",8.3,"1",24
46495,1979,90,12,17,"Action",4.2,"0",46
9772,1990,84,11.3,2327,"Comedy",7.6,"1",35
20116,1975,84,5.9,931,"Action",4.7,"0",50
275,2003,84,13.5,62,"Romance",3.3,"0",22
51351,2001,7,12,5,"Short",8.1,"1",24
55201,1999,121,13.4,46,"Comedy",3.6,"0",26
43574,2003,15,13.8,6,"Action",7.8,"1",22
41969,1971,87,16.4,90,"Drama",3.9,"0",54
24014,1953,90,9,1386,"Action",3.8,"0",72
34908,1995,90,9.7,17,"Drama",3.4,"0",30
8153,1973,110,8.8,11,"Drama",3,"0",52
12478,1940,76,10.4,122,"Drama",2.4,"0",85
22960,1997,82,12.6,131,"Comedy",7.6,"1",28
43939,1997,57,14.1,8,"Documentary",8.1,"1",28
10618,1982,117,14,24,"Drama",4.4,"0",43
14180,1954,9,10.7,5,"Comedy",8.2,"1",71
4404,1970,20,11.7,10,"Documentary",8.2,"1",55
